index,name,ytm,duration,accrued_interest,spread,clean_price,dirty_price,pvbp,convexity,macaulay_duration
38,QNB FINANCE LTD 1.625 22/09/2025,29.137689885237393,0.1147841277276847,0.6054794520548024,2526.768988523739,96.671,97.276479,0.0011096296411563008,0.06326934943700736,0.131507
39,ECOPETROL SA 5.875 28/05/2045,8.65912743163109,10.031949296356276,1.0934027777777855,386.912743163109,73.81,74.903403,0.07404581775640567,152.0951733790354,10.466289
40,PETROLEOS MEXICA 5.95 28/01/2031,10.053984079122543,4.441532097714724,0.11569444444443633,628.3984079122544,83.02,83.135694,0.036873599475227635,23.93195956109612,4.664808
41,PETROLEOS MEXICA 6.95 28/01/2060,10.41233312153816,9.64424957207227,0.13513888888889714,560.233312153816,67.742,67.877139,0.06533207545113198,173.35659986037305,10.146345
42,SITIOS 5.375 04/04/2032,6.231680250167846,5.39097596373043,1.8065972222222282,226.16802501678467,95.375,97.181597,0.05141643325407897,35.367786982191454,5.55895
43,COMISION FEDERAL 6.264 15/02/2052,6.988639311790465,11.8644151803339,2.957999999999994,217.8639311790465,91.295,94.253,0.10831617838885833,225.60962030406392,12.278996
44,CODELCO INC 6.15 24/10/2036,5.40432071685791,8.019013302543728,1.7254166666666573,117.43207168579097,106.199,107.924417,0.08516111937168414,81.99192461537447,8.2357
45,EMPRESA NACIONAL 4.5 14/09/2047,6.179224061965942,12.5355879452763,1.7625000000000002,138.9224061965942,79.883,81.6455,0.10013803718325066,225.09693753362708,12.922889
46,EMPRESA METRO 4.7 07/05/2050,5.791235578830017,13.477454795096238,1.1488888888888882,100.12355788300171,85.722,86.870889,0.11553143799452396,263.85365586367857,13.86771
47,MEXICO CITY ARPT 5.5 31/07/2047,6.745477461814881,11.863123160304578,0.07638888888887863,195.54774618148807,85.823,85.899389,0.10181288189868197,204.12157164336716,12.263235
48,SAUDI ELEC GLOBA 5.06 08/04/2043,5.186953999718305,11.351373904393801,1.6445000000000045,39.69539997183054,98.535,100.1795,0.1118507627669443,172.42869821167858,11.645769
49,ABU DHABI CRUDE 4.6 02/11/2047,5.066113471984863,13.358947722765684,1.1883333333333246,27.611347198486325,93.815,95.003333,0.12532696806112625,246.40292194494648,13.697337
50,KAZMUNAYGAS NAT 6.375 24/10/2048,6.52848816394806,11.719791294152758,1.7885416666666654,173.848816394806,98.151,99.939542,0.11503092353123873,206.65582885322948,12.102354
51,SAUDI ARAB OIL 4.25 16/04/2039,5.099425623976961,9.963331360590006,1.286805555555559,86.94256239769604,91.691,92.977806,0.09135478157838582,124.63156752746724,10.217368
52,GALAXY PIPELINE 3.25 30/09/2040,5.113377571105958,11.212642932102906,1.128472222222232,32.33775711059579,80.502,81.630472,0.0902640181320148,155.96619864219474,11.499315
53,QATAR ENERGY 3.125 12/07/2041,5.038054466247559,11.853157065535726,0.19965277777778123,24.805446624755856,79.207,79.406653,0.09388530116898881,172.78474883199047,12.151741
54,GREENSAIF PIPELI 6.129 23/02/2038,5.482895851135253,8.583627674681532,2.758050000000001,125.28958511352526,105.799,108.55705,0.09081392243536314,96.34620154077018,8.818943
55,GACI FIRST INVST 5.125 14/02/2053,5.729952573776245,13.720446434570842,2.4343749999999886,91.99525737762455,91.663,94.097375,0.12576572815320672,286.53525457013416,14.113534
56,COLOMBIA REP OF 3.875 15/02/2061,7.144153170585632,13.80672807229661,1.8298611111111196,233.41531705856323,58.011,59.840861,0.08009421022019986,329.32983129985115,14.299915
57,UNITED MEXICAN 5.75 12/10/2110,6.644676308631895,14.734238249752215,1.7729166666666574,183.46763086318953,86.576,88.348917,0.12756314107105476,436.69509600511566,15.223759
58,US TREASURY N/B 3 15/08/2052,4.105455855576211,17.064816729616666,1.417127071823199,-70.45441444237888,82.046875,83.464002,0.14001148851127673,392.74873752243235,17.415111
59,SAUDI INT BOND 4.5 26/10/2046,5.390259476933952,12.864914193335684,1.2375000000000025,60.025947693395224,88.814,90.0515,0.11425844891669153,227.8272309254555,13.21164
60,QATAR STATE OF 4.817 14/03/2049,4.899407610214808,13.692233066346649,1.8866583333333242,10.94076102148076,98.841,100.727658,0.1353354008510769,263.9351930871659,14.027652
61,STATE OF ISRAEL 3.8 13/05/2060,5.841288232803345,15.897135313365853,0.8655555555555638,103.12882328033454,69.767,70.632556,0.11090954394075954,400.42611006151014,16.361434
